1,his cinematic vision 
1,piece to watch with kids and use to introduce video as art 
0,worst -- and only -- killer website movie 
1,rewarded with some fine acting 
0,that it 's also too stupid to realize that they 've already seen this exact same movie a hundred times 
1,down memory lane 
1,"holland lets things peter out midway , but it 's notably better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals . "
0,"has turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing "
0,eddie murphy nor robert de niro has ever made 
1,its slightly humorous and tender story 
1,a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis 
1,"this odd , poetic road movie , spiked by jolts of pop music "
1,scorsese 's bold images and generally smart casting ensure that `` gangs '' is never lethargic 
1,ample 
1,the fat 
0,which is way too stagy 
1,wind up remembering with a degree of affection rather than revulsion 
0,'s too harsh 
0,most unpleasant 
1,berry 's saucy 
1,a terrible strength 
1,most thoughtful films 
1,an auspicious feature debut 
0,"realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` analyze this ' ( 1999 ) and ` analyze that , ' promised ( or threatened ) for later this year "
1,as beautifully shaped 
1,'ll trudge out of the theater feeling as though you rode the zipper after eating a corn dog and an extra-large cotton candy 
0,this slight premise 
0,banality and hypocrisy 
0,"a movie more to be prescribed than recommended -- as visually bland as a dentist 's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms . "
1,makes it seem 
1,wondrously creative 
1,"ash wednesday is not edward burns ' best film , but it is a good and ambitious film . "
1,armed with a game supporting cast 
0,ultra-violent gangster wannabe 
1,will enjoy seeing how both evolve 
1,"though lan yu lacks a sense of dramatic urgency , the film makes up for it with a pleasing verisimilitude . "
0,worry 
0,winds up feeling like a great missed opportunity . 
1,almost shakespearean -- both in depth and breadth -- 
0,why bother if you 're going to subjugate truth to the tear-jerking demands of soap opera 
1,"the lustrous polished visuals rich in color and creativity and , of course , special effect "
0,skip this turd 
0,unsettled 
0,"that are repeatedly undercut by the brutality of the jokes , most at women 's expense "
0,yourself wishing that you and they were in another movie 
1,cinema paradiso stands as one of the great films about movie love . 
0,have an original bone in his body 
0,hoary 
0,the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities . 
1,are amiable and committed 
0,to balance all the formulaic equations in the long-winded heist comedy 
0,", it 's just grating "
0,is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience 
0,has been held hostage by generic scripts that seek to remake sleepless in seattle again and again 
0,the film 's mid-to-low budget 
1,"this nervy oddity , like modern art should . "
1,formula family tearjerker 
0,", those rejected must have been astronomically bad "
1,are quite admirable 
1,in its sparkling beauty 
0,grumbling 
1,is strong as always . 
1,stimulating and demanding 
1,has some of the funniest jokes of any movie 
1,gradually makes us believe she is kahlo 
1,robust and scary 
1,"fathers and sons , and the uneasy bonds between them "
1,a great cast and 
0,most pitiful 
0,the barriers finally prove to be too great 
0,does n't give you enough to feel good about . 
0,beaten 
0,"to have cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release "
1,this film will attach a human face to all those little steaming cartons . 
0,leave 
1,masterful british actor ian holm 
0,( the characters ' ) misery 
0,"about being subjected to farts , urine , feces , semen , or any of the other foul substances "
1,very good comedic songs 
0,the viewer 's patience with slow pacing and 
0,you suffer the dreadfulness of war from both sides 
0,"it 's mildly interesting to ponder the peculiar american style of justice that plays out here , but it 's so muddled and derivative that few will bother thinking it all through . "
0,'s a barely tolerable slog over well-trod ground . 
1,"layered , well-developed characters and some surprises "
1,oscar-worthy 
1,creates something more beautiful than either of those films 
0,the performances elicit more of a sense of deja vu than awe 
1,this seductive tease 
0,spied with my little eye ... a mediocre collection of cookie-cutter action scenes 
0,should be able to find better entertainment 
1,sure to raise audience 's spirits and leave them singing long after the credits roll 
1,"is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends . "
0,several cliched movie structures : 
1,who are alternately touching and funny 
1,a powerful sequel and one of the best films of the year 
1,"in this film , every shot enhances the excellent performances "
0,the rampantly designed equilibrium becomes a concept doofus 
0,"a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey , do n't shoot the messenger ) "
1,", the humor has point "
1,cares 
1,chabrol 's most intense psychological mysteries 
0,"is the last thing any of these three actresses , nor their characters , deserve . "
1,also has many of the things that made the first one charming . 
1,one-of-a-kind tour de force 
0,"it 's a setup so easy it borders on facile , but "
0,"trite , banal , cliched , mostly inoffensive . "
1,calculating fiend 
0,and artistically inept 
1,", sometimes beautiful adaptation "
1,the raunch in favor of gags that rely on the strength of their own cleverness 
0,a droll sense 
0,hackneyed and meanspirited 
0,you were thinking someone made off with your wallet 
1,zinger-filled crowd-pleaser 
0,"deep down , i realized the harsh reality of my situation : i would leave the theater with a lower i.q. than when i had entered "
1,bears ... should keep parents amused with its low groan-to-guffaw ratio 
1,of filmmaking with an assurance worthy of international acclaim 
1,a movie about the power of poetry and passion 
1,any insight 
0,unfocused and 
0,"the half-lit , sometimes creepy intimacy of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing "
1,griffiths ' warm and winning central performance 
0,", but also more than anything else slight ... tadpole pulls back from the consequences of its own actions and revelations . "
1,"to get on a board and , uh , shred , dude "
0,"it 's usually a bad sign when directors abandon their scripts and go where the moment takes them , "
1,a guilt-free trip 
0,90 punitive minutes 
0,is matched only by the ridiculousness of its premise . 
1,writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing . 
1,"those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen "
1,'s worth the concentration . 
1,"fifty years after the fact , the world 's political situation seems little different , and ( director phillip ) noyce brings out the allegory with remarkable skill . "
0,"'s to realize that as far as these shootings are concerned , something is rotten in the state of california "
0,the superficial tensions 
1,michel piccoli 's moving performance is this films reason for being . 
1,"while the humor is recognizably plympton , he has actually bothered to construct a real story this time . "
1,dramatic substance 
1,more than capable of rewarding them 
